,idDB,Nom,Equip,Funcio,Dorsal
0,,Abelardo Fernández,Alavés,Entrenador,0
1,91406,Fernando Pacheco,Alavés,Portero,1
2,176245,Antonio Sivera,Alavés,Portero,13
3,439750,Álex Domínguez,Alavés,Portero,31
4,167539,Carlos Vigaray,Alavés,Defensa,2
5,126119,Rubén Duarte,Alavés,Defensa,3
6,93421,Rodrigo Ely,Alavés,Defensa,4
7,49370,Víctor Laguardia,Alavés,Defensa,5
8,155335,Guillermo Maripán,Alavés,Defensa,6
9,90728,Ximo Navarro,Alavés,Defensa,15
10,178873,Adrián Marín,Alavés,Defensa,17
11,246162,Martín Aguirregabiria,Alavés,Defensa,21
12,80956,Tomás Pina,Alavés,Centrocampista,8
13,103263,Takashi Inui,Alavés,Centrocampista,11
14,163817,Burgui,Alavés,Centrocampista,14
15,55378,Manu García,Alavés,Centrocampista,19
16,84700,Darko Brasanac,Alavés,Centrocampista,20
17,55179,Mubarak Wakaso,Alavés,Centrocampista,22
18,92190,Jony,Alavés,Centrocampista,23
19,462986,Antonio Perera,Alavés,Centrocampista,27
20,,Álex Blanco,Alavés,Delantero,7
21,148011,Diego Rolan,Alavés,Delantero,9
22,82970,John Guidetti,Alavés,Delantero,10
23,168287,Jonathan Calleri,Alavés,Delantero,12
24,83091,Borja Bastón,Alavés,Delantero,18
25,113965,Patrick Twumasi,Alavés,Delantero,24
26,465474,Andrei Lupu,Alavés,Delantero,34
27,,Gaizka Garitano,Athletic,Entrenador,0
28,197316,Álex Remiro,Athletic,Portero,1
29,89292,Iago Herrerín,Athletic,Portero,13
30,212769,Unai Simón,Athletic,Portero,25
31,220186,Hodei Oleaga,Athletic,Portero,26
32,242830,Unai Núñez,Athletic,Defensa,3
33,90318,Íñigo Martínez,Athletic,Defensa,4
34,197319,Yeray Álvarez,Athletic,Defensa,5
35,42670,Yuri,Athletic,Defensa,12
36,197314,Íñigo Lekue,Athletic,Defensa,15
37,59062,Óscar De Marcos,Athletic,Defensa,18
38,140266,Ander Capa,Athletic,Defensa,21
39,56680,Mikel Balenziaga,Athletic,Defensa,24
40,42995,Mikel San José,Athletic,Centrocampista,6
41,38394,Beñat Etxebarria,Athletic,Centrocampista,7
42,56249,Ander Iturraspe,Athletic,Centrocampista,8
43,215684,Iñigo Córdoba,Athletic,Centrocampista,11
44,47665,Markel Susaeta,Athletic,Centrocampista,14
45,140264,Dani García,Athletic,Centrocampista,16
46,76558,Mikel Rico,Athletic,Centrocampista,17
47,84471,Ibai Gómez,Athletic,Centrocampista,19
48,18498,Raúl García,Athletic,Centrocampista,22
49,183462,Unai López,Athletic,Centrocampista,23
50,242831,Peru Nolaskoain,Athletic,Centrocampista,31
51,194625,Kenan Kodro,Athletic,Delantero,2
52,197334,Iñaki Williams,Athletic,Delantero,9
53,76012,Iker Muniain,Athletic,Delantero,10
54,14464,Aritz Aduriz,Athletic,Delantero,20
55,220182,Gorka Guruzeta,Athletic,Delantero,30
56,,Iñigo Vicente,Athletic,Delantero,32
57,,Diego Simeone,Atlético,Entrenador,0
58,59981,Antonio Adán,Atlético,Portero,1
59,81352,Jan Oblak,Atlético,Portero,13
60,437819,Alex Dos Santos,Atlético,Portero,25
61,32281,Diego Godín,Atlético,Defensa,2
62,18595,Filipe Luís,Atlético,Defensa,3
63,102383,Santiago Arias,Atlético,Defensa,4
64,65807,Stefan Savic,Atlético,Defensa,15
65,,Nehuén Pérez,Atlético,Defensa,18
66,17804,Juanfran,Atlético,Defensa,20
67,174888,Lucas Hernández,Atlético,Defensa,21
68,151883,José Giménez,Atlético,Defensa,24
69,244733,Andrés Solano,Atlético,Defensa,33
70,437821,Francisco Montero,Atlético,Defensa,35
71,,Tachi,Atlético,Defensa,36
72,437820,Carlos Isaac Muñoz,Atlético,Defensa,38
73,167199,Thomas Partey,Atlético,Centrocampista,5
74,77390,Koke,Atlético,Centrocampista,6
75,89335,Saúl Ñíguez,Atlético,Centrocampista,8
76,167449,Thomas Lemar,Atlético,Centrocampista,11
77,220566,Rodrigo,Atlético,Centrocampista,14
78,86399,Vitolo,Atlético,Centrocampista,23
79,,Cristian Rodríguez,Atlético,Centrocampista,28
80,,Mikel Carro,Atlético,Centrocampista,30
81,,Toni Moya,Atlético,Centrocampista,43
82,76650,Antoine Griezmann,Atlético,Delantero,7
83,50401,Nikola Kalinic,Atlético,Delantero,9
84,156223,Ángel Correa,Atlético,Delantero,10
85,18507,Diego Costa,Atlético,Delantero,19
86,88482,Álvaro Morata,Atlético,Delantero,22
87,445201,Borja Garcés,Atlético,Delantero,32
88,,Victor Mollejo,Atlético,Delantero,40
89,,Joaquín Muñoz,Atlético,Delantero,47
90,,Ernesto Valverde,Barça,Entrenador,0
91,77318,Marc-André ter Stegen,Barça,Portero,1
92,72162,Jasper Cillessen,Barça,Portero,13
93,,Iñaki Peña,Barça,Portero,30
94,195383,Jokin Ezkieta,Barça,Portero,31
95,200402,Nélson Semedo,Barça,Defensa,2
96,18221,Gerard Piqué,Barça,Defensa,3
97,,Jean-Clair Todibo,Barça,Defensa,6
98,171101,Clément Lenglet,Barça,Defensa,15
99,107117,Jeison Murillo,Barça,Defensa,17
100,52356,Jordi Alba,Barça,Defensa,18
101,86157,Sergi Roberto,Barça,Defensa,20
102,88580,Samuel Umtiti,Barça,Defensa,23
103,15943,Thomas Vermaelen,Barça,Defensa,24
104,,Juan Miranda,Barça,Defensa,27
105,,Jorge Cuenca,Barça,Defensa,33
106,,Chumi,Barça,Defensa,36
107,,Guillem Jaime,Barça,Defensa,38
108,,Moussa Wagué,Barça,Defensa,40
109,34703,Ivan Rakitic,Barça,Centrocampista,4
110,54104,Sergio Busquets,Barça,Centrocampista,5
111,84583,Coutinho,Barça,Centrocampista,7
112,204043,Arthur,Barça,Centrocampista,8
113,92819,Rafinha,Barça,Centrocampista,12
114,179271,Carles Aleñá,Barça,Centrocampista,21
115,42565,Arturo Vidal,Barça,Centrocampista,22
116,,Riqui Puig,Barça,Centrocampista,28
117,,Álex Collado,Barça,Centrocampista,34
118,,Oriol Busquets,Barça,Centrocampista,35
119,39336,Luis Suárez,Barça,Delantero,9
120,19054,Lionel Messi,Barça,Delantero,10
121,219438,Ousmane Dembélé,Barça,Delantero,11
122,181092,Malcom,Barça,Delantero,14
123,20360,Kevin-Prince Boateng,Barça,Delantero,19
124,,Quique Setién,Betis,Entrenador,0
125,78315,Joel Robles,Betis,Portero,1
126,182960,Pau López,Betis,Portero,13
127,89747,Zouhair Feddal,Betis,Defensa,4
128,81138,Marc Bartra,Betis,Defensa,5
129,53142,Sidnei,Betis,Defensa,12
130,20399,Antonio Barragán,Betis,Defensa,19
131,443967,Júnior Firpo,Betis,Defensa,20
132,86813,Aissa Mandi,Betis,Defensa,23
133,,Emerson,Betis,Defensa,24
134,,Julio Alonso,Betis,Defensa,30
135,,Edgar González,Betis,Defensa,32
136,,Jaime Garijo,Betis,Centrocampista,-
137,432757,Francis,Betis,Centrocampista,2
138,19534,Javi García,Betis,Centrocampista,3
139,56448,Sergio Canales,Betis,Centrocampista,6
140,96122,William Carvalho,Betis,Centrocampista,14
141,10316,Joaquín,Betis,Centrocampista,17
142,37064,Andrés Guardado,Betis,Centrocampista,18
143,200826,Giovani Lo Celso,Betis,Centrocampista,21
144,,Diego Lainez,Betis,Centrocampista,22
145,,Adrián Tellado,Betis,Centrocampista,27
146,,José Manuel Irizo,Betis,Centrocampista,28
147,,Wilfrid Kaptoum,Betis,Centrocampista,34
148,,Diego Altamirano,Betis,Centrocampista,37
149,,Paul Akouokou,Betis,Centrocampista,38
150,82418,Sergio León,Betis,Delantero,7
151,93127,Jesé,Betis,Delantero,10
152,86169,Cristian Tello,Betis,Delantero,11
153,432751,Loren Morón,Betis,Delantero,16
154,,Robert,Betis,Delantero,33
155,,Fran Escribá,Celta,Entrenador,0
156,38400,Sergio Álvarez,Celta,Portero,1
157,106539,Rubén Blanco,Celta,Portero,13
158,234580,Iván Villar,Celta,Portero,26
159,76508,Hugo Mallo,Celta,Defensa,2
160,169205,David Costas,Celta,Defensa,3
161,100868,Néstor Araújo,Celta,Defensa,4
162,,Wesley Hoedt,Celta,Defensa,12
163,,Lucas Olaza,Celta,Defensa,15
164,105488,David Juncà,Celta,Defensa,17
165,107807,Kevin Vázquez,Celta,Defensa,20
166,55117,Gustavo Cabral,Celta,Defensa,22
167,101394,Okay Yokuslu,Celta,Centrocampista,5
168,100263,Nemanja Radoja,Celta,Centrocampista,6
169,234511,Fran Beltrán,Celta,Centrocampista,8
170,101820,Stanislav Lobotka,Celta,Centrocampista,14
171,166973,Andrew Hjulsager,Celta,Centrocampista,16
172,207283,Mathias Jensen,Celta,Centrocampista,18
173,128198,Sofiane Boufal,Celta,Centrocampista,19
174,105064,Jozabed Sánchez,Celta,Centrocampista,21
175,178880,Brais Méndez,Celta,Centrocampista,23
176,55264,Ryad Boudebouz,Celta,Centrocampista,24
177,220046,Emre Mor,Celta,Delantero,7
178,215206,Maxi Gómez,Celta,Delantero,9
179,40270,Iago Aspas,Celta,Delantero,10
180,142276,Pione Sisto,Celta,Delantero,11
181,,Emmanuel Apeh,Celta,Delantero,29
182,,José Luis Mendilibar,Eibar,Entrenador,0
183,94618,Marko Dmitrovic,Eibar,Portero,1
184,17973,Asier Riesgo,Eibar,Portero,13
185,,Markel Areitio,Eibar,Portero,35
186,174992,Jordi Calavera,Eibar,Defensa,2
187,91393,Pedro Bigas,Eibar,Defensa,3
188,17906,Iván Ramis,Eibar,Defensa,4
189,87499,Paulo Oliveira,Eibar,Defensa,12
190,59140,Cote,Eibar,Defensa,15
191,179268,Marc Cucurella,Eibar,Defensa,20
192,87026,Anaitz Arbilla,Eibar,Defensa,23
193,156305,Gonzalo Escalante,Eibar,Centrocampista,5
194,83578,Sergio Álvarez,Eibar,Centrocampista,6
195,27672,Pape Diop,Eibar,Centrocampista,8
196,126290,Rubén Peña,Eibar,Centrocampista,11
197,48854,Fabián Orellana,Eibar,Centrocampista,14
198,126510,Pablo De Blasis,Eibar,Centrocampista,16
199,42839,Pedro León,Eibar,Centrocampista,21
200,195364,Joan Jordán,Eibar,Centrocampista,24
201,244363,Marc Cardona,Eibar,Delantero,7
202,80791,Sergi Enrich,Eibar,Delantero,9
203,61597,Kike García,Eibar,Delantero,17
204,86349,Charles,Eibar,Delantero,19
205,175090,Pere Milla,Eibar,Delantero,22
206,,Joan Francesc Ferrer,Espanyol,Entrenador,0
207,40694,Roberto Jiménez,Espanyol,Portero,1
208,16021,Diego López,Espanyol,Portero,13
209,100692,Naldo,Espanyol,Defensa,5
210,99128,Óscar Duarte,Espanyol,Defensa,6
211,48832,Roberto Rosales,Espanyol,Defensa,8
212,59790,Dídac Vilá,Espanyol,Defensa,12
213,11129,David López,Espanyol,Defensa,15
214,78333,Javi López,Espanyol,Defensa,16
215,213431,Mario Hermoso,Espanyol,Defensa,22
216,,Lluís López,Espanyol,Defensa,27
217,446990,Adrià Pedrosa,Espanyol,Defensa,28
218,,Iago Indias,Espanyol,Defensa,32
219,,Alfa Semedo,Espanyol,Centrocampista,2
220,49267,Víctor Sánchez,Espanyol,Centrocampista,4
221,169007,Sergi Darder,Espanyol,Centrocampista,10
222,243718,Óscar Melendo,Espanyol,Centrocampista,14
223,446991,Álex López,Espanyol,Centrocampista,18
224,51271,Pablo Piatti,Espanyol,Centrocampista,19
225,234370,Marc Roca,Espanyol,Centrocampista,21
226,46998,Esteban Granero,Espanyol,Centrocampista,23
227,202044,Borja Iglesias,Espanyol,Delantero,7
228,17679,Sergio García,Espanyol,Delantero,9
229,86527,Facundo Ferreyra,Espanyol,Delantero,11
230,73109,Hernán Pérez,Espanyol,Delantero,17
231,431434,Javi Puado,Espanyol,Delantero,20
232,,Wu Lei,Espanyol,Delantero,24
233,,Carlos Doncel,Espanyol,Delantero,29
234,,Víctor Campuzano,Espanyol,Delantero,31
235,,José Bordalás,Getafe,Entrenador,0
236,93921,Leandro Chichizola,Getafe,Portero,1
237,175204,David Soria,Getafe,Portero,13
238,110713,Rubén Yáñez,Getafe,Portero,25
239,149838,Djené Dakonam,Getafe,Defensa,2
240,39621,Vitorino Antunes,Getafe,Defensa,3
241,98976,Bruno González,Getafe,Defensa,4
242,64662,Leandro Cabrera,Getafe,Defensa,6
243,214966,Mathías Olivera,Getafe,Defensa,17
244,90801,Ignasi Miquel,Getafe,Defensa,21
245,99005,Damián Suárez,Getafe,Defensa,22
246,96767,Dimitri Foulquier,Getafe,Defensa,24
247,,Miguel Ángel Rubio,Getafe,Defensa,29
248,20150,Markel Bergara,Getafe,Centrocampista,5
249,80795,Francisco Portillo,Getafe,Centrocampista,8
250,158213,Gaku Shibasaki,Getafe,Centrocampista,10
251,,Samu Sáiz,Getafe,Centrocampista,11
252,151978,Sebastián Cristóforo,Getafe,Centrocampista,15
253,18155,Mathieu Flamini,Getafe,Centrocampista,16
254,171222,Mauro Arambarri,Getafe,Centrocampista,18
255,198499,Nemanja Maksimovic,Getafe,Centrocampista,20
256,225463,Amath Ndiaye,Getafe,Delantero,-
257,109270,Jaime Mata,Getafe,Delantero,7
258,56419,Ángel Rodríguez,Getafe,Delantero,9
259,76555,Jorge Molina,Getafe,Delantero,19
260,439716,Hugo Duro,Getafe,Delantero,27
261,,Eusebio Sacristán,Girona,Entrenador,0
262,14725,Gorka Iraizoz,Girona,Portero,1
263,120026,Yassine Bounou,Girona,Portero,13
264,191771,José Aurelio Suárez,Girona,Portero,30
265,235591,Marc Vito,Girona,Portero,36
266,55317,Bernardo Espinosa,Girona,Defensa,2
267,152723,Johan Mojica,Girona,Defensa,3
268,80077,Jonás Ramalho,Girona,Defensa,4
269,67759,Pedro Alcalá,Girona,Defensa,5
270,80908,Raúl García,Girona,Defensa,14
271,63119,Juanpe,Girona,Defensa,15
272,61595,Marc Muniesa,Girona,Defensa,20
273,86152,Carles Planas,Girona,Defensa,21
274,242316,Èric Montes,Girona,Defensa,28
275,139472,Álex Granell,Girona,Centrocampista,6
276,131411,Pere Pons,Girona,Centrocampista,8
277,88550,Portu,Girona,Centrocampista,9
278,63904,Borja García,Girona,Centrocampista,10
279,87713,Aday Benítez,Girona,Centrocampista,11
280,230046,Douglas Luiz,Girona,Centrocampista,12
281,124165,Patrick Roberts,Girona,Centrocampista,17
282,178871,Aleix García,Girona,Centrocampista,23
283,441164,Pedro Porro,Girona,Centrocampista,24
284,,Yhoan Andzouana,Girona,Centrocampista,26
285,203151,Kevin Soni,Girona,Centrocampista,27
286,,Valery Fernández,Girona,Centrocampista,34
287,243432,Paik Seung-Ho,Girona,Centrocampista,35
288,49464,Cristhian Stuani,Girona,Delantero,7
289,104448,Anthony Lozano,Girona,Delantero,19
290,52117,Seydou Doumbia,Girona,Delantero,22
291,,Álex Pachón,Girona,Delantero,37
292,,Francisco Rodríguez,Huesca,Entrenador,0
293,38560,Javi Varas,Huesca,Portero,1
294,21062,Roberto Santamaría,Huesca,Portero,13
295,155713,Aleksandar Jovanovic,Huesca,Portero,25
296,89724,Martín Mantovani,Huesca,Defensa,2
297,58637,Xabier Etxeita,Huesca,Defensa,3
298,235798,Adrián Diéguez,Huesca,Defensa,4
